DT_CODE,Area_Name,Age,Total_P,Total_M,Total_F,Rural,Rural_M,Rural_F,Urban,Urban_M,Urban_F
492,District - Surat (25),2,107244,58044,49200,20187,10369,9818,87057,47675,39382
493,District - Tapi (26),2,12639,6456,6183,11327,5769,5558,1312,687,625
468,District - Kachchh (01),3,46380,23818,22562,32733,16741,15992,13647,7077,6570
469,District - Banas Kantha (02),3,75157,38885,36272,67308,34719,32589,7849,4166,3683
470,District - Patan   (03),3,26915,13816,13099,22480,11527,10953,4435,2289,2146
471,District - Mahesana (04),3,33606,17745,15861,26099,13668,12431,7507,4077,3430
472,District - Sabar Kantha (05),3,51080,26266,24814,44955,23056,21899,6125,3210,2915
473,District - Gandhinagar (06),3,23607,12440,11167,14079,7303,6776,9528,5137,4391
474,District - Ahmadabad (07),3,119203,62869,56334,23675,12223,11452,95528,50646,44882
475,District - Surendranagar (08),3,35260,18147,17113,27296,13999,13297,7964,4148,3816
476,District - Rajkot (09),3,62688,32784,29904,27772,14386,13386,34916,18398,16518
477,District - Jamnagar (10),3,37742,19377,18365,21803,11118,10685,15939,8259,7680
478,District - Porbandar  (11),3,9277,4740,4537,5155,2662,2493,4122,2078,2044
479,District - Junagadh (12),3,44136,22795,21341,30540,15692,14848,13596,7103,6493
480,District - Amreli (13),3,25306,13001,12305,19290,9845,9445,6016,3156,2860
481,District - Bhavnagar (14),3,56251,29204,27047,35991,18520,17471,20260,10684,9576
482,District - Anand   (15),3,34881,18193,16688,25193,13200,11993,9688,4993,4695
483,District - Kheda (16),3,41131,20964,20167,32906,16710,16196,8225,4254,3971
484,District - Panch Mahals (17),3,53866,27584,26282,47838,24405,23433,6028,3179,2849
485,District - Dohad   (18),3,65133,33201,31932,61108,31139,29969,4025,2062,1963
486,District - Vadodara (19),3,70918,36811,34107,42038,21537,20501,28880,15274,13606
487,District - Narmada (20),3,11314,5826,5488,10438,5381,5057,876,445,431
488,District - Bharuch (21),3,25180,12905,12275,17108,8759,8349,8072,4146,3926
489,District - The Dangs (22),3,6047,3080,2967,5673,2891,2782,374,189,185
490,District - Navsari   (23),3,18850,9667,9183,12770,6444,6326,6080,3223,2857
491,District - Valsad (24),3,31275,16020,15255,20745,10484,10261,10530,5536,4994
492,District - Surat (25),3,105867,56463,49404,19829,10059,9770,86038,46404,39634
493,District - Tapi (26),3,12692,6435,6257,11456,5800,5656,1236,635,601
468,District - Kachchh (01),4,46718,24231,22487,32740,16889,15851,13978,7342,6636
469,District - Banas Kantha (02),4,75105,39362,35743,67076,35103,31973,8029,4259,3770
470,District - Patan   (03),4,27995,14692,13303,23238,12165,11073,4757,2527,2230
471,District - Mahesana (04),4,34648,18556,16092,26872,14290,12582,7776,4266,3510
472,District - Sabar Kantha (05),4,49756,25997,23759,43520,22620,20900,6236,3377,2859
473,District - Gandhinagar (06),4,24566,13158,11408,14741,7856,6885,9825,5302,4523
474,District - Ahmadabad (07),4,120258,64468,55790,23727,12376,11351,96531,52092,44439
475,District - Surendranagar (08),4,35997,18957,17040,27693,14480,13213,8304,4477,3827
476,District - Rajkot (09),4,63100,33680,29420,28070,14886,13184,35030,18794,16236
477,District - Jamnagar (10),4,38477,20060,18417,22335,11541,10794,16142,8519,7623
478,District - Porbandar  (11),4,9778,5120,4658,5334,2804,2530,4444,2316,2128
479,District - Junagadh (12),4,46067,24139,21928,31824,16556,15268,14243,7583,6660
480,District - Amreli (13),4,25522,13401,12121,19514,10262,9252,6008,3139,2869
481,District - Bhavnagar (14),4,57085,29837,27248,36711,19058,17653,20374,10779,9595
482,District - Anand   (15),4,37617,19835,17782,27360,14431,12929,10257,5404,4853
483,District - Kheda (16),4,43854,23244,20610,35285,18594,16691,8569,4650,3919
484,District - Panch Mahals (17),4,53080,27334,25746,47081,24147,22934,5999,3187,2812
485,District - Dohad   (18),4,61255,31374,29881,57366,29322,28044,3889,2052,1837
486,District - Vadodara (19),4,72584,37901,34683,42793,22023,20770,29791,15878,13913
